DATE,MARKET,VENDOR,BAND,Cell Traffic (kbytes),Cell Used PRB,Cell Spectral Efficiency (bps/Hz),UE Traffic (kbytes),UE Active Time (s),UE Tput (kbps),Total cell count,Total Spectrum in MHz
07/08/2017,Utah,ALU,2300,24351493919.0,8.41703139575e+11,1.28583174725,16865364669.4,11587322.383,11644.0116962,250,2500
07/08/2017,Washington,ALU,2300,1.39430703779e+11,4.36869554589e+12,1.41848295512,85306680253.4,75349739.468,9057.1440173,1512,15120
07/08/2017,Washington DC,ALU,2300,1.14987427551e+11,3.36150525277e+12,1.5203166294,80001426690.0,72610647.621,8814.29149153,750,7500
07/08/2017,Wisconsin,ALU,2300,2905746758.0,1.45166521516e+11,0.889628676136,1611795388.42,948163.282,13599.3065246,66,660
07/08/2017,Wyoming,ALU,2300,4199490867.0,2.58467789947e+11,0.722117206835,2108035749.89,1347340.897,12516.7179566,148,1480
07/15/2017,Arizona,ALU,2300,61976796840.0,2.08095360211e+12,1.32368367138,39181431452.7,22655597.027,13835.4973055,945,9450
07/15/2017,Central Illinois,ALU,2300,230378782.0,23442344995.8,0.436776140766,149277614.08,78411.538,15230.168201,6,60
07/15/2017,Colorado,ALU,2300,48472077073.0,1.61569726422e+12,1.33336521902,32335943773.2,30694082.449,8427.92908422,467,4670
07/15/2017,Detroit,ALU,2300,23891276120.0,1.2947510587e+12,0.820107067757,13384951575.6,7468001.692,14338.4558575,375,3750
07/15/2017,Harly,ALU,2300,82182852849.0,2.67157230522e+12,1.36719909493,53010171606.0,42332238.769,10017.9292468,773,7730
07/15/2017,Idaho,ALU,2300,3388394202.0,2.5827407535e+11,0.583083291122,2115989163.01,969101.075,17467.6447491,93,930
07/15/2017,Iowa,ALU,2300,21670928730.0,9.86367649326e+11,0.976463886116,12105539781.6,6417727.593,15090.1260376,569,5690
07/15/2017,Kansas City KS,ALU,2300,1.47767297374e+11,4.11148496167e+12,1.59733903932,1.04581653267e+11,104003538.005,8044.468892,1163,11630
07/15/2017,Las Vegas,ALU,2300,36285203941.0,1.2402400872e+12,1.30029318303,26883790988.3,37658275.869,5711.10394577,346,3460
07/15/2017,Maryland,ALU,2300,69324336773.0,2.22546060068e+12,1.38446918962,48614387838.0,44351716.285,8768.88506872,474,4740
07/15/2017,Minnesota,ALU,2300,34320566336.0,2.4199721783e+12,0.630320677859,19022101939.2,10721294.177,14193.8848987,987,9870
07/15/2017,Montana,ALU,2300,4519217408.0,2.46366462529e+11,0.815265620819,2342345463.81,1207513.022,15518.4775394,107,1070
07/15/2017,NYC East,ALU,2300,1.63801259027e+11,9.71676242153e+12,0.749226505799,1.11868263544e+11,93095725.237,9613.18155127,1925,19250
07/15/2017,NYC Manhattan,ALU,2300,1.41092234287e+11,5.82354263347e+12,1.07679575183,1.07028690127e+11,169814505.654,5042.14594458,929,9290
07/15/2017,NYC West,ALU,2300,1.39347285562e+11,7.10959444269e+12,0.871106325624,94233612699.6,81979473.125,9195.82516037,1549,15490
07/15/2017,Nebraska,ALU,2300,11401826901.0,4.68474792801e+11,1.08169717998,6098940789.76,3133336.658,15571.7471959,331,3310
07/15/2017,New Mexico,ALU,2300,15638281818.0,5.50943797608e+11,1.2615347527,10680456593.4,8005283.918,10673.4069175,201,2010
07/15/2017,North Dakota,ALU,2300,2097353563.0,58074781038.6,1.60509798305,1469798644.74,907582.79,12955.7207204,22,220
07/15/2017,Northern MI,ALU,2300,6311359887.0,1.69103855794e+11,1.65877284435,3026371219.46,1717983.999,14092.6631271,80,800
07/15/2017,Northern OH,ALU,2300,58410034960.0,1.7791684896e+12,1.45910944857,35419859242.0,25342137.919,11181.3326422,497,4970
07/15/2017,Oregon,ALU,2300,70464299720.0,2.42023267875e+12,1.29398577324,45758960971.8,31785354.517,11516.9924431,622,6220
07/15/2017,Outstate MI,ALU,2300,26615400609.0,1.31305314598e+12,0.900882570792,15254227487.7,9351119.759,13050.18255,463,4630
07/15/2017,Philadelphia,ALU,2300,1.26304699083e+11,3.15646297779e+12,1.77842801293,89269921632.3,85910552.091,8312.82485883,822,8220
07/15/2017,South Dakota,ALU,2300,1904239243.0,73818507035.6,1.14649914558,1145479962.62,611806.582,14978.3280707,30,300
07/15/2017,Southern OH,ALU,2300,76898536263.0,3.72512681149e+12,0.917475537277,50512197493.8,39330811.76,10274.3259513,884,8840
07/15/2017,St. Louis MO,ALU,2300,94078333548.0,2.71163772568e+12,1.54196824642,63588326421.5,50565740.737,10060.3017766,787,7870
07/15/2017,Utah,ALU,2300,25973928998.0,8.97043126678e+11,1.28689113157,18188446278.7,12111272.582,12014.2263535,250,2500
07/15/2017,Washington,ALU,2300,1.52219199555e+11,4.78178622289e+12,1.41480556484,95249663666.2,84281447.017,9041.10378143,1513,15130
07/15/2017,Washington DC,ALU,2300,1.26767080969e+11,3.72015523575e+12,1.51447779205,88012122650.6,82472102.279,8537.39581929,762,7620
07/15/2017,Wisconsin,ALU,2300,3193392875.0,1.50594004701e+11,0.942458317008,1745530125.31,1099850.149,12696.494168,68,680
07/15/2017,Wyoming,ALU,2300,5018177275.0,2.61261231525e+11,0.853667035899,2594146770.94,1627040.298,12755.1691209,146,1460
07/22/2017,Arizona,ALU,2300,63283421624.0,2.17396563866e+12,1.29376309662,40751144452.1,26783722.822,12171.9134335,937,9370
07/22/2017,Central Illinois,ALU,2300,201637310.0,23774363639.8,0.376946292149,130780748.8,68518.938,15269.4425941,6,60
07/22/2017,Colorado,ALU,2300,48877101256.0,1.63263810859e+12,1.33055549784,32945160003.6,30565647.282,8622.79400129,468,4680
07/22/2017,Detroit,ALU,2300,25838088170.0,1.33043368267e+12,0.863146723646,15046152922.1,8378696.927,14366.1030379,378,3780
07/22/2017,Harly,ALU,2300,81909185171.0,2.68563778341e+12,1.35550976096,53281016703.0,38548149.315,11057.5511717,773,7730
07/22/2017,Idaho,ALU,2300,3703913703.0,2.71057000546e+11,0.607320181616,2335027800.06,1084502.866,17224.6869844,95,950
07/22/2017,Iowa,ALU,2300,20860936136.0,9.95311367719e+11,0.931520273179,11552810979.3,6006143.778,15387.9912388,577,5770
07/22/2017,Kansas City KS,ALU,2300,1.51312698166e+11,4.20631529167e+12,1.59878856934,1.0688693023e+11,106840332.23,8003.48916925,1164,11640
07/22/2017,Las Vegas,ALU,2300,36654570909.0,1.26046781256e+12,1.29245033008,26979189498.9,32083508.083,6727.24177894,356,3560
07/22/2017,Maryland,ALU,2300,70682496525.0,2.29094691287e+12,1.37124272603,49577945324.5,41992733.386,9445.05228918,479,4790
07/22/2017,Minnesota,ALU,2300,34715277677.0,2.45312822246e+12,0.628952541478,19457697221.6,11158003.828,13950.6653854,1001,10010
07/22/2017,Montana,ALU,2300,4765586268.0,2.53268374238e+11,0.836282203692,2515999617.02,1326803.346,15170.2940732,112,1120
07/22/2017,NYC East,ALU,2300,1.61980653351e+11,9.66861298057e+12,0.744588718506,1.09041255065e+11,91133805.881,9571.96983143,1925,19250
07/22/2017,NYC Manhattan,ALU,2300,1.42738130025e+11,5.85300987371e+12,1.08387257614,1.05965218657e+11,158472378.192,5349.33443247,969,9690
07/22/2017,NYC West,ALU,2300,1.42876107643e+11,7.31403102991e+12,0.868201023841,95837924037.6,87055457.889,8807.06863065,1619,16190
07/22/2017,Nebraska,ALU,2300,12030583787.0,5.09858770394e+11,1.04870729662,6456295341.06,3286520.461,15715.8196157,356,3560
07/22/2017,New Mexico,ALU,2300,15749098262.0,5.59311161935e+11,1.25146782398,10851191331.8,8083723.674,10738.8048077,210,2100
07/22/2017,North Dakota,ALU,2300,1929837323.0,69613229562.9,1.23210125758,1370573289.47,872652.685,12564.662327,22,220
07/22/2017,Northern MI,ALU,2300,6794613948.0,1.79860725678e+11,1.67898156195,3306252311.55,1911067.957,13840.4384813,83,830
07/22/2017,Northern OH,ALU,2300,59503399535.0,1.79653404004e+12,1.47205423106,36421566520.3,27033759.974,10778.0986604,499,4990
07/22/2017,Oregon,ALU,2300,72016997063.0,2.49175415599e+12,1.28453901334,47420415821.8,32673650.295,11610.6808743,626,6260
07/22/2017,Outstate MI,ALU,2300,27403836686.0,1.31909948683e+12,0.923317997856,15729143839.7,9236489.425,13623.4823565,475,4750
